Pfeiffer read started at 2017-07-19 16:57:51 (EDT)
Time (s)	Pressure (Torr)
Pfeiffer read started at 2017-07-21 14:05:45 (EDT)
Time (s)	Pressure (Torr)
1500660347	3.33e-06
1500660408	9.33e-07
1500660468	6.3e-07
1500660529	5.96e-07
1500660589	5.79e-07
1500660650	5.7e-07
1500660710	5.76e-07
1500660770	5.65e-07
1500660831	5.71e-07
1500660891	5.85e-07
1500660952	6.12e-07
1500661012	6.87e-07
1500661073	1e-06
1500661133	2.44e-06
1500661194	2.08e-05
1500661254	0.000231
1500661314	0.00216
1500661375	0.00648
1500661435	0.0112
1500661496	0.0144
1500661556	0.0165
1500661967	0.0
1500662028	0.00395
1500662088	6.02e-06
1500662149	2.83e-06
1500662209	1.91e-06
1500662270	1.75e-06
1500662330	1.49e-06
1500662391	1.32e-06
1500662451	1.19e-06
1500662511	1.1e-06
1500662572	1.03e-06
1500662632	9.73e-07
1500662693	9.27e-07
1500662753	8.88e-07
1500662814	8.54e-07
1500662874	8.27e-07
1500662935	8.03e-07
1500662995	7.83e-07
1500663055	7.67e-07
1500663116	7.5e-07
1500663176	7.33e-07
1500663237	7.2e-07
1500663297	7.04e-07
1500663358	6.88e-07
1500663418	6.78e-07
1500663479	6.65e-07
1500663539	6.57e-07
1500663599	6.52e-07
1500663660	6.48e-07
1500663720	6.38e-07
1500663781	6.33e-07
1500663841	6.27e-07
1500663902	6.21e-07
1500663962	6.2e-07
1500664023	6.15e-07
1500664083	6.09e-07
1500664144	6.05e-07
1500664204	6.04e-07
1500664264	6e-07
1500664325	5.97e-07
1500664385	5.93e-07
1500664446	5.91e-07
1500664506	5.88e-07
1500664567	5.85e-07
1500664627	5.82e-07
1500664688	5.8e-07
1500664748	5.79e-07
1500664808	5.82e-07
1500664869	5.77e-07
1500664929	5.74e-07
1500664990	5.88e-07
1500665050	5.69e-07
1500665111	5.67e-07
1500665171	5.71e-07
1500665232	5.59e-07
1500665292	5.56e-07
1500665352	5.52e-07
1500665413	5.5e-07
1500665473	5.5e-07
1500665534	5.46e-07
1500665594	5.45e-07
1500665655	5.44e-07
1500665715	5.43e-07
1500665776	5.41e-07
1500665836	5.42e-07
1500665896	5.39e-07
1500665957	5.4e-07
1500666017	5.38e-07
1500666078	5.42e-07
1500666138	5.37e-07
1500666199	5.36e-07
1500666259	5.35e-07
1500666320	5.34e-07
1500666380	5.33e-07
1500666441	5.41e-07
1500666501	5.34e-07
1500666561	5.34e-07
1500666622	5.36e-07
1500666682	5.36e-07
1500666743	5.37e-07
1500666803	5.41e-07
1500666864	5.45e-07
1500666924	5.58e-07
1500666985	5.73e-07
1500667045	6.13e-07
1500667105	7.58e-07
1500667166	1.52e-06
1500667226	6.8e-06
1500667287	7.11e-05
1500667347	0.00084
1500667408	0.00414
1500667468	0.00901
1500667529	0.0131
1500667589	0.0157
1500667649	0.0173
1500667710	0.0184
Pfeiffer read started at 2017-07-21 16:23:22 (EDT)
Time (s)	Pressure (Torr)
Pfeiffer read started at 2017-07-24 11:45:25 (EDT)
Time (s)	Pressure (Torr)
1500911127	2.81e-07
1500911187	2.8e-07
1500911248	2.81e-07
1500911308	2.82e-07
1500911368	2.8e-07
1500911429	2.8e-07
1500911489	2.81e-07
1500911550	2.8e-07
1500911610	2.8e-07
1500911671	2.81e-07
1500911731	2.8e-07
1500911792	2.82e-07
1500911852	2.81e-07
1500911912	2.8e-07
1500911973	2.81e-07
1500912033	2.81e-07
1500912094	2.81e-07
1500912154	2.8e-07
1500912215	2.81e-07
1500912275	2.82e-07
1500912336	2.82e-07
1500912396	2.81e-07
1500912456	2.82e-07
1500912517	2.82e-07
1500912577	2.8e-07
1500912638	2.81e-07
1500912698	2.8e-07
1500912759	2.81e-07
1500912819	2.81e-07
1500912880	2.82e-07
1500912940	2.81e-07
1500913001	2.82e-07
1500913061	2.82e-07
1500913121	2.82e-07
1500913182	2.81e-07
1500913525	2.82e-07
1500913585	2.81e-07
1500913646	2.8e-07
1500913706	2.8e-07
1500913766	2.79e-07
1500913827	2.78e-07
1500913887	2.78e-07
1500913948	2.79e-07
1500914008	2.77e-07
1500914069	2.76e-07
1500914129	2.74e-07
1500914190	2.74e-07
1500914250	2.75e-07
1500914311	2.72e-07
1500914371	2.75e-07
1500914431	2.53e-07
1500914492	1.55e-07
1500914552	1.41e-07
1500914613	1.35e-07
1500914673	1.29e-07
1500914734	1.27e-07
1500914794	1.26e-07
Pfeiffer read started at 2017-07-24 14:42:07 (EDT)
Time (s)	Pressure (Torr)
1500921729	2.12e-07
