Pfeiffer read started at 2017-06-27 12:58:18 (EDT)
Time (s)	Pressure (Torr)
1498582700	8.99e-08
1498582761	8.95e-08
1498582821	8.87e-08
1498582882	8.73e-08
1498582942	8.56e-08
1498583003	8.41e-08
1498583063	8.26e-08
1498583123	8.19e-08
1498583184	8.13e-08
1498583244	8.1e-08
1498583305	8.08e-08
1498583365	8.06e-08
1498583426	8.04e-08
1498583486	8.03e-08
1498583547	8.01e-08
1498583607	7.99e-08
1498583667	7.98e-08
1498583728	7.97e-08
1498583788	7.96e-08
1498583849	7.95e-08
1498583909	7.94e-08
1498583970	7.93e-08
1498584030	7.92e-08
1498584091	7.92e-08
1498584151	7.91e-08
1498584211	7.91e-08
1498584272	7.9e-08
1498584332	7.9e-08
1498584393	7.89e-08
1498584453	7.89e-08
1498584514	7.89e-08
1498584574	7.89e-08
1498584635	7.88e-08
1498584695	7.88e-08
1498584755	7.87e-08
1498584816	7.87e-08
1498584876	7.87e-08
1498586190	7.51e-08
1498586250	7.52e-08
1498586311	7.52e-08
1498586371	7.53e-08
1498586431	7.54e-08
1498586492	7.54e-08
1498586552	7.55e-08
1498586613	7.55e-08
1498586673	7.56e-08
1498586734	7.56e-08
