Pfeiffer read started at 2017-07-11 19:20:53 (EDT)
Time (s)	Pressure (Torr)
1499815255	1.38e-07
1499815315	6.11e-07
1499815375	5.75e-07
1499815436	3.88e-07
1499815496	3.35e-07
1499815557	3.33e-07
1499815617	3.15e-07
1499815678	3.12e-07
1499815738	3.12e-07
1499815799	3.07e-07
1499815859	3.13e-07
1499815919	3.09e-07
1499815980	3.09e-07
1499816040	3.06e-07
1499816101	2.91e-07
1499816161	2.69e-07
1499816222	1.47e-07
1499816282	8.17e-08
1499816343	7.42e-08
1499816403	6.65e-08
1499816463	7.15e-08
1499816524	6.97e-08
1499816584	8.38e-08
1499816645	1.4e-07
1499816705	2.16e-07
1499816766	7.03e-07
1499816826	3.85e-07
1499816887	3.51e-07
1499816947	3.29e-07
