Pfeiffer read started at 2017-07-11 17:54:56 (EDT)
Time (s)	Pressure (Torr)
1499810098	3.84e-07
1499810159	3.46e-07
1499810219	1.46e-07
1499810280	7.69e-08
1499810340	5.93e-08
1499810401	5.46e-08
1499810461	5.58e-08
1499810521	6.11e-08
1499810582	5.5e-08
1499810642	5.56e-08
1499810703	5.76e-08
1499810763	6.38e-08
1499810824	7.14e-08
1499810884	1.03e-07
1499810945	1.09e-07
1499811005	1.31e-07
1499811065	1.64e-07
1499811126	9.99e-07
1499811186	5.27e-07
1499811247	4.49e-07
1499811307	4.04e-07
1499811368	3.97e-07
1499811428	3.78e-07
1499811489	3.77e-07
