Pfeiffer read started at 2017-07-11 10:13:53 (EDT)
Time (s)	Pressure (Torr)
1499782435	5.92e-08
1499782495	1.04e-07
1499782556	1.56e-07
1499782616	2.18e-07
1499782676	2.39e-07
1499782737	2.59e-07
1499782797	2.75e-07
1499782858	2.83e-07
1499782918	2.89e-07
1499782979	2.97e-07
1499783039	3.04e-07
1499783100	3.13e-07
1499783160	3.2e-07
1499783220	3.27e-07
1499783281	3.34e-07
1499783341	3.41e-07
1499783402	3.48e-07
1499783462	3.54e-07
1499783523	3.6e-07
1499783583	3.66e-07
1499783644	3.72e-07
1499783704	3.79e-07
1499783764	3.84e-07
1499783825	3.9e-07
1499783885	3.96e-07
1499783946	4.01e-07
1499784006	4.06e-07
1499784067	4.12e-07
1499784127	4.17e-07
1499784188	4.21e-07
1499784248	4.26e-07
1499784308	4.31e-07
1499784369	4.36e-07
1499784429	4.41e-07
1499784490	4.44e-07
1499784550	4.49e-07
1499784611	4.53e-07
1499784671	4.57e-07
1499784732	4.59e-07
1499784792	4.56e-07
1499784853	4.59e-07
1499784913	4.55e-07
1499784973	4.43e-07
1499785034	4.22e-07
1499785094	4.31e-07
1499785155	4.4e-07
1499785215	4.3e-07
1499785276	4.05e-07
1499785336	4.12e-07
1499785397	3.96e-07
1499785457	4.11e-07
1499785517	4.22e-07
1499785578	4.29e-07
1499785638	4.35e-07
1499785699	4.4e-07
1499785759	4.37e-07
1499785820	4.37e-07
1499785880	4.38e-07
1499785941	4.4e-07
1499786001	4.42e-07
1499786061	4.46e-07
1499786122	4.48e-07
1499788336	0.0
1499788397	1.06e-06
1499788457	8.15e-07
1499788518	7.03e-07
1499788578	6.44e-07
1499788639	6.01e-07
1499788699	5.63e-07
1499788759	5.27e-07
1499788820	4.88e-07
1499788880	4.46e-07
1499788941	4.04e-07
1499789001	3.56e-07
1499789062	3.28e-07
1499789122	2.37e-07
1499789183	1.33e-07
1499789243	1.3e-07
1499789303	1.39e-07
1499789364	3.5e-07
1499789424	6.26e-07
1499789485	7.37e-07
Pfeiffer read started at 2017-07-11 14:24:27 (EDT)
Time (s)	Pressure (Torr)
1499797469	0.015
1499797530	5.2e-07
1499797590	4.86e-07
1499797650	4.68e-07
1499797711	4.51e-07
1499797771	4.34e-07
1499797832	4.15e-07
1499797892	3.97e-07
1499797953	3.76e-07
1499798013	3.45e-07
1499798074	1.66e-07
1499798134	1.04e-07
1499798194	9.51e-08
1499798255	9.63e-08
Pfeiffer read started at 2017-07-11 15:50:22 (EDT)
Time (s)	Pressure (Torr)
1499802624	4.48e-07
Pfeiffer read started at 2017-07-11 16:12:56 (EDT)
Time (s)	Pressure (Torr)
1499803978	6.74e-07
Pfeiffer read started at 2017-07-11 16:30:39 (EDT)
Time (s)	Pressure (Torr)
1499805041	8.87e-08
1499805102	8.61e-08
1499805162	1.29e-07
1499805223	2.18e-07
1499805283	1.16e-06
1499805344	8.38e-07
1499805404	5.85e-07
1499805464	4.94e-07
1499805525	4.7e-07
1499805585	4.34e-07
1499805646	4.2e-07
Pfeiffer read started at 2017-07-11 16:43:28 (EDT)
Time (s)	Pressure (Torr)
